,short_name,fish_id,time_point,macrophage_count,time_in_min,cancer_cells,dpi
1801,211005_CME037_1dpi_Pos005,211005_CME037_Pos005,51.0,13.0,2460.0,CME037,1.0
1804,211019_CME038_1dpi_Pos001,211019_CME038_Pos001,0.0,19.0,1440.0,CME038,1.0
1807,211019_CME038_1dpi_Pos001,211019_CME038_Pos001,3.0,19.0,1500.0,CME038,1.0
1810,211019_CME038_1dpi_Pos001,211019_CME038_Pos001,6.0,14.0,1560.0,CME038,1.0
1813,211019_CME038_1dpi_Pos001,211019_CME038_Pos001,9.0,12.0,1620.0,CME038,1.0
1816,211019_CME038_1dpi_Pos001,211019_CME038_Pos001,12.0,19.0,1680.0,CME038,1.0
1819,211019_CME038_1dpi_Pos001,211019_CME038_Pos001,15.0,18.0,1740.0,CME038,1.0
1822,211019_CME038_1dpi_Pos001,211019_CME038_Pos001,18.0,15.0,1800.0,CME038,1.0
1825,211019_CME038_1dpi_Pos001,211019_CME038_Pos001,21.0,19.0,1860.0,CME038,1.0
1828,211019_CME038_1dpi_Pos001,211019_CME038_Pos001,24.0,18.0,1920.0,CME038,1.0
1831,211019_CME038_1dpi_Pos001,211019_CME038_Pos001,27.0,19.0,1980.0,CME038,1.0
1834,211019_CME038_1dpi_Pos001,211019_CME038_Pos001,30.0,18.0,2040.0,CME038,1.0
1837,211019_CME038_1dpi_Pos001,211019_CME038_Pos001,33.0,22.0,2100.0,CME038,1.0
1840,211019_CME038_1dpi_Pos001,211019_CME038_Pos001,36.0,26.0,2160.0,CME038,1.0
1843,211019_CME038_1dpi_Pos001,211019_CME038_Pos001,39.0,21.0,2220.0,CME038,1.0
1846,211019_CME038_1dpi_Pos001,211019_CME038_Pos001,42.0,19.0,2280.0,CME038,1.0
1849,211019_CME038_1dpi_Pos001,211019_CME038_Pos001,45.0,19.0,2340.0,CME038,1.0
1852,211019_CME038_1dpi_Pos002,211019_CME038_Pos002,0.0,13.0,1440.0,CME038,1.0
1855,211019_CME038_1dpi_Pos002,211019_CME038_Pos002,3.0,8.0,1500.0,CME038,1.0
1858,211019_CME038_1dpi_Pos002,211019_CME038_Pos002,6.0,8.0,1560.0,CME038,1.0
1861,211019_CME038_1dpi_Pos002,211019_CME038_Pos002,9.0,5.0,1620.0,CME038,1.0
1864,211019_CME038_1dpi_Pos002,211019_CME038_Pos002,12.0,11.0,1680.0,CME038,1.0
1867,211019_CME038_1dpi_Pos002,211019_CME038_Pos002,15.0,11.0,1740.0,CME038,1.0
1870,211019_CME038_1dpi_Pos002,211019_CME038_Pos002,18.0,11.0,1800.0,CME038,1.0
1873,211019_CME038_1dpi_Pos002,211019_CME038_Pos002,21.0,14.0,1860.0,CME038,1.0
1876,211019_CME038_1dpi_Pos002,211019_CME038_Pos002,24.0,13.0,1920.0,CME038,1.0
1879,211019_CME038_1dpi_Pos002,211019_CME038_Pos002,27.0,16.0,1980.0,CME038,1.0
1882,211019_CME038_1dpi_Pos002,211019_CME038_Pos002,30.0,17.0,2040.0,CME038,1.0
1885,211019_CME038_1dpi_Pos002,211019_CME038_Pos002,33.0,16.0,2100.0,CME038,1.0
1888,211019_CME038_1dpi_Pos002,211019_CME038_Pos002,36.0,13.0,2160.0,CME038,1.0
1891,211019_CME038_1dpi_Pos002,211019_CME038_Pos002,39.0,18.0,2220.0,CME038,1.0
1894,211019_CME038_1dpi_Pos002,211019_CME038_Pos002,42.0,15.0,2280.0,CME038,1.0
1897,211019_CME038_1dpi_Pos002,211019_CME038_Pos002,45.0,18.0,2340.0,CME038,1.0
1900,211019_CME038_1dpi_Pos003,211019_CME038_Pos003,0.0,20.0,1440.0,CME038,1.0
1903,211019_CME038_1dpi_Pos003,211019_CME038_Pos003,3.0,21.0,1500.0,CME038,1.0
1906,211019_CME038_1dpi_Pos003,211019_CME038_Pos003,6.0,18.0,1560.0,CME038,1.0
1909,211019_CME038_1dpi_Pos003,211019_CME038_Pos003,9.0,15.0,1620.0,CME038,1.0
1912,211019_CME038_1dpi_Pos003,211019_CME038_Pos003,12.0,22.0,1680.0,CME038,1.0
1915,211019_CME038_1dpi_Pos003,211019_CME038_Pos003,15.0,16.0,1740.0,CME038,1.0
1918,211019_CME038_1dpi_Pos003,211019_CME038_Pos003,18.0,14.0,1800.0,CME038,1.0
1921,211019_CME038_1dpi_Pos003,211019_CME038_Pos003,21.0,15.0,1860.0,CME038,1.0
1924,211019_CME038_1dpi_Pos003,211019_CME038_Pos003,24.0,18.0,1920.0,CME038,1.0
1927,211019_CME038_1dpi_Pos003,211019_CME038_Pos003,27.0,17.0,1980.0,CME038,1.0
1930,211019_CME038_1dpi_Pos003,211019_CME038_Pos003,30.0,17.0,2040.0,CME038,1.0
1933,211019_CME038_1dpi_Pos003,211019_CME038_Pos003,33.0,18.0,2100.0,CME038,1.0
1936,211019_CME038_1dpi_Pos003,211019_CME038_Pos003,36.0,16.0,2160.0,CME038,1.0
1939,211019_CME038_1dpi_Pos003,211019_CME038_Pos003,39.0,21.0,2220.0,CME038,1.0
1942,211019_CME038_1dpi_Pos003,211019_CME038_Pos003,42.0,18.0,2280.0,CME038,1.0
1945,211019_CME038_1dpi_Pos003,211019_CME038_Pos003,45.0,22.0,2340.0,CME038,1.0
1948,211019_CME038_1dpi_Pos004,211019_CME038_Pos004,0.0,13.0,1440.0,CME038,1.0
1951,211019_CME038_1dpi_Pos004,211019_CME038_Pos004,3.0,9.0,1500.0,CME038,1.0
1954,211019_CME038_1dpi_Pos004,211019_CME038_Pos004,6.0,15.0,1560.0,CME038,1.0
1957,211019_CME038_1dpi_Pos004,211019_CME038_Pos004,9.0,15.0,1620.0,CME038,1.0
1960,211019_CME038_1dpi_Pos004,211019_CME038_Pos004,12.0,16.0,1680.0,CME038,1.0
1963,211019_CME038_1dpi_Pos004,211019_CME038_Pos004,15.0,14.0,1740.0,CME038,1.0
1966,211019_CME038_1dpi_Pos004,211019_CME038_Pos004,18.0,13.0,1800.0,CME038,1.0
1969,211019_CME038_1dpi_Pos004,211019_CME038_Pos004,21.0,11.0,1860.0,CME038,1.0
1972,211019_CME038_1dpi_Pos004,211019_CME038_Pos004,24.0,11.0,1920.0,CME038,1.0
1975,211019_CME038_1dpi_Pos004,211019_CME038_Pos004,27.0,11.0,1980.0,CME038,1.0
1978,211019_CME038_1dpi_Pos004,211019_CME038_Pos004,30.0,10.0,2040.0,CME038,1.0
1981,211019_CME038_1dpi_Pos004,211019_CME038_Pos004,33.0,13.0,2100.0,CME038,1.0
1984,211019_CME038_1dpi_Pos004,211019_CME038_Pos004,36.0,20.0,2160.0,CME038,1.0
1987,211019_CME038_1dpi_Pos004,211019_CME038_Pos004,39.0,16.0,2220.0,CME038,1.0
1990,211019_CME038_1dpi_Pos004,211019_CME038_Pos004,42.0,22.0,2280.0,CME038,1.0
1993,211019_CME038_1dpi_Pos004,211019_CME038_Pos004,45.0,22.0,2340.0,CME038,1.0
1996,211019_CME038_1dpi_Pos005,211019_CME038_Pos005,0.0,17.0,1440.0,CME038,1.0
1999,211019_CME038_1dpi_Pos005,211019_CME038_Pos005,3.0,16.0,1500.0,CME038,1.0
2002,211019_CME038_1dpi_Pos005,211019_CME038_Pos005,6.0,19.0,1560.0,CME038,1.0
2005,211019_CME038_1dpi_Pos005,211019_CME038_Pos005,9.0,22.0,1620.0,CME038,1.0
2008,211019_CME038_1dpi_Pos005,211019_CME038_Pos005,12.0,18.0,1680.0,CME038,1.0
2011,211019_CME038_1dpi_Pos005,211019_CME038_Pos005,15.0,27.0,1740.0,CME038,1.0
2014,211019_CME038_1dpi_Pos005,211019_CME038_Pos005,18.0,24.0,1800.0,CME038,1.0
2017,211019_CME038_1dpi_Pos005,211019_CME038_Pos005,21.0,26.0,1860.0,CME038,1.0
2020,211019_CME038_1dpi_Pos005,211019_CME038_Pos005,24.0,27.0,1920.0,CME038,1.0
2023,211019_CME038_1dpi_Pos005,211019_CME038_Pos005,27.0,30.0,1980.0,CME038,1.0
2026,211019_CME038_1dpi_Pos005,211019_CME038_Pos005,30.0,33.0,2040.0,CME038,1.0
2029,211019_CME038_1dpi_Pos005,211019_CME038_Pos005,33.0,31.0,2100.0,CME038,1.0
2032,211019_CME038_1dpi_Pos005,211019_CME038_Pos005,36.0,35.0,2160.0,CME038,1.0
2035,211019_CME038_1dpi_Pos005,211019_CME038_Pos005,39.0,31.0,2220.0,CME038,1.0
2038,211019_CME038_1dpi_Pos005,211019_CME038_Pos005,42.0,33.0,2280.0,CME038,1.0
2041,211019_CME038_1dpi_Pos005,211019_CME038_Pos005,45.0,31.0,2340.0,CME038,1.0
2044,211019_CME038_1dpi_Pos006,211019_CME038_Pos006,0.0,17.0,1440.0,CME038,1.0
2047,211019_CME038_1dpi_Pos006,211019_CME038_Pos006,3.0,22.0,1500.0,CME038,1.0
2050,211019_CME038_1dpi_Pos006,211019_CME038_Pos006,6.0,17.0,1560.0,CME038,1.0
2053,211019_CME038_1dpi_Pos006,211019_CME038_Pos006,9.0,14.0,1620.0,CME038,1.0
2056,211019_CME038_1dpi_Pos006,211019_CME038_Pos006,12.0,13.0,1680.0,CME038,1.0
2059,211019_CME038_1dpi_Pos006,211019_CME038_Pos006,15.0,20.0,1740.0,CME038,1.0
2062,211019_CME038_1dpi_Pos006,211019_CME038_Pos006,18.0,19.0,1800.0,CME038,1.0
2065,211019_CME038_1dpi_Pos006,211019_CME038_Pos006,21.0,14.0,1860.0,CME038,1.0
2068,211019_CME038_1dpi_Pos006,211019_CME038_Pos006,24.0,13.0,1920.0,CME038,1.0
2071,211019_CME038_1dpi_Pos006,211019_CME038_Pos006,27.0,17.0,1980.0,CME038,1.0
2074,211019_CME038_1dpi_Pos006,211019_CME038_Pos006,30.0,15.0,2040.0,CME038,1.0
2077,211019_CME038_1dpi_Pos006,211019_CME038_Pos006,33.0,14.0,2100.0,CME038,1.0
2080,211019_CME038_1dpi_Pos006,211019_CME038_Pos006,36.0,12.0,2160.0,CME038,1.0
2083,211019_CME038_1dpi_Pos006,211019_CME038_Pos006,39.0,10.0,2220.0,CME038,1.0
2086,211019_CME038_1dpi_Pos006,211019_CME038_Pos006,42.0,10.0,2280.0,CME038,1.0
2089,211019_CME038_1dpi_Pos006,211019_CME038_Pos006,45.0,8.0,2340.0,CME038,1.0
2092,211123_LBT123_1dpi_Pos001,211123_LBT123_Pos001,0.0,53.0,1440.0,LBT123,1.0
2095,211123_LBT123_1dpi_Pos001,211123_LBT123_Pos001,3.0,49.0,1500.0,LBT123,1.0
2098,211123_LBT123_1dpi_Pos001,211123_LBT123_Pos001,6.0,56.0,1560.0,LBT123,1.0
2101,211123_LBT123_1dpi_Pos001,211123_LBT123_Pos001,9.0,51.0,1620.0,LBT123,1.0
2104,211123_LBT123_1dpi_Pos001,211123_LBT123_Pos001,12.0,53.0,1680.0,LBT123,1.0
2107,211123_LBT123_1dpi_Pos001,211123_LBT123_Pos001,15.0,51.0,1740.0,LBT123,1.0
2110,211123_LBT123_1dpi_Pos001,211123_LBT123_Pos001,18.0,50.0,1800.0,LBT123,1.0
2113,211123_LBT123_1dpi_Pos001,211123_LBT123_Pos001,21.0,39.0,1860.0,LBT123,1.0
2116,211123_LBT123_1dpi_Pos001,211123_LBT123_Pos001,24.0,52.0,1920.0,LBT123,1.0
2119,211123_LBT123_1dpi_Pos001,211123_LBT123_Pos001,27.0,48.0,1980.0,LBT123,1.0
2122,211123_LBT123_1dpi_Pos001,211123_LBT123_Pos001,30.0,53.0,2040.0,LBT123,1.0
2125,211123_LBT123_1dpi_Pos001,211123_LBT123_Pos001,33.0,47.0,2100.0,LBT123,1.0
2128,211123_LBT123_1dpi_Pos001,211123_LBT123_Pos001,36.0,42.0,2160.0,LBT123,1.0
2131,211123_LBT123_1dpi_Pos001,211123_LBT123_Pos001,39.0,44.0,2220.0,LBT123,1.0
2134,211123_LBT123_1dpi_Pos001,211123_LBT123_Pos001,42.0,38.0,2280.0,LBT123,1.0
2137,211123_LBT123_1dpi_Pos001,211123_LBT123_Pos001,45.0,38.0,2340.0,LBT123,1.0
2140,211123_LBT123_1dpi_Pos001,211123_LBT123_Pos001,48.0,37.0,2400.0,LBT123,1.0
2143,211123_LBT123_1dpi_Pos002,211123_LBT123_Pos002,0.0,60.0,1440.0,LBT123,1.0
2146,211123_LBT123_1dpi_Pos002,211123_LBT123_Pos002,3.0,57.0,1500.0,LBT123,1.0
2149,211123_LBT123_1dpi_Pos002,211123_LBT123_Pos002,6.0,59.0,1560.0,LBT123,1.0
2152,211123_LBT123_1dpi_Pos002,211123_LBT123_Pos002,9.0,57.0,1620.0,LBT123,1.0
2155,211123_LBT123_1dpi_Pos002,211123_LBT123_Pos002,12.0,56.0,1680.0,LBT123,1.0
2158,211123_LBT123_1dpi_Pos002,211123_LBT123_Pos002,15.0,51.0,1740.0,LBT123,1.0
2161,211123_LBT123_1dpi_Pos002,211123_LBT123_Pos002,18.0,62.0,1800.0,LBT123,1.0
2164,211123_LBT123_1dpi_Pos002,211123_LBT123_Pos002,21.0,58.0,1860.0,LBT123,1.0
2167,211123_LBT123_1dpi_Pos002,211123_LBT123_Pos002,24.0,57.0,1920.0,LBT123,1.0
2170,211123_LBT123_1dpi_Pos002,211123_LBT123_Pos002,27.0,48.0,1980.0,LBT123,1.0
2173,211123_LBT123_1dpi_Pos002,211123_LBT123_Pos002,30.0,47.0,2040.0,LBT123,1.0
2176,211123_LBT123_1dpi_Pos002,211123_LBT123_Pos002,33.0,43.0,2100.0,LBT123,1.0
2179,211123_LBT123_1dpi_Pos002,211123_LBT123_Pos002,36.0,36.0,2160.0,LBT123,1.0
2182,211123_LBT123_1dpi_Pos002,211123_LBT123_Pos002,39.0,50.0,2220.0,LBT123,1.0
2185,211123_LBT123_1dpi_Pos002,211123_LBT123_Pos002,42.0,45.0,2280.0,LBT123,1.0
2188,211123_LBT123_1dpi_Pos002,211123_LBT123_Pos002,45.0,39.0,2340.0,LBT123,1.0
2191,211123_LBT123_1dpi_Pos002,211123_LBT123_Pos002,48.0,49.0,2400.0,LBT123,1.0
2194,211123_LBT123_1dpi_Pos003,211123_LBT123_Pos003,0.0,59.0,1440.0,LBT123,1.0
2197,211123_LBT123_1dpi_Pos003,211123_LBT123_Pos003,3.0,59.0,1500.0,LBT123,1.0
2200,211123_LBT123_1dpi_Pos003,211123_LBT123_Pos003,6.0,55.0,1560.0,LBT123,1.0
2203,211123_LBT123_1dpi_Pos003,211123_LBT123_Pos003,9.0,54.0,1620.0,LBT123,1.0
2206,211123_LBT123_1dpi_Pos003,211123_LBT123_Pos003,12.0,62.0,1680.0,LBT123,1.0
2209,211123_LBT123_1dpi_Pos003,211123_LBT123_Pos003,15.0,42.0,1740.0,LBT123,1.0
2212,211123_LBT123_1dpi_Pos003,211123_LBT123_Pos003,18.0,51.0,1800.0,LBT123,1.0
2215,211123_LBT123_1dpi_Pos003,211123_LBT123_Pos003,21.0,46.0,1860.0,LBT123,1.0
2218,211123_LBT123_1dpi_Pos003,211123_LBT123_Pos003,24.0,44.0,1920.0,LBT123,1.0
2221,211123_LBT123_1dpi_Pos003,211123_LBT123_Pos003,27.0,46.0,1980.0,LBT123,1.0
2224,211123_LBT123_1dpi_Pos003,211123_LBT123_Pos003,30.0,38.0,2040.0,LBT123,1.0
2227,211123_LBT123_1dpi_Pos003,211123_LBT123_Pos003,33.0,41.0,2100.0,LBT123,1.0
2230,211123_LBT123_1dpi_Pos003,211123_LBT123_Pos003,36.0,42.0,2160.0,LBT123,1.0
2233,211123_LBT123_1dpi_Pos003,211123_LBT123_Pos003,39.0,36.0,2220.0,LBT123,1.0
2236,211123_LBT123_1dpi_Pos003,211123_LBT123_Pos003,42.0,37.0,2280.0,LBT123,1.0
2239,211123_LBT123_1dpi_Pos003,211123_LBT123_Pos003,45.0,33.0,2340.0,LBT123,1.0
2242,211123_LBT123_1dpi_Pos003,211123_LBT123_Pos003,48.0,42.0,2400.0,LBT123,1.0
2245,211123_LBT123_1dpi_Pos004,211123_LBT123_Pos004,0.0,80.0,1440.0,LBT123,1.0
2248,211123_LBT123_1dpi_Pos004,211123_LBT123_Pos004,3.0,71.0,1500.0,LBT123,1.0
2251,211123_LBT123_1dpi_Pos004,211123_LBT123_Pos004,6.0,60.0,1560.0,LBT123,1.0
2254,211123_LBT123_1dpi_Pos004,211123_LBT123_Pos004,9.0,57.0,1620.0,LBT123,1.0
2257,211123_LBT123_1dpi_Pos004,211123_LBT123_Pos004,12.0,51.0,1680.0,LBT123,1.0
2260,211123_LBT123_1dpi_Pos004,211123_LBT123_Pos004,15.0,53.0,1740.0,LBT123,1.0
2263,211123_LBT123_1dpi_Pos004,211123_LBT123_Pos004,18.0,43.0,1800.0,LBT123,1.0
2266,211123_LBT123_1dpi_Pos004,211123_LBT123_Pos004,21.0,39.0,1860.0,LBT123,1.0
2269,211123_LBT123_1dpi_Pos004,211123_LBT123_Pos004,24.0,46.0,1920.0,LBT123,1.0
2272,211123_LBT123_1dpi_Pos004,211123_LBT123_Pos004,27.0,45.0,1980.0,LBT123,1.0
2275,211123_LBT123_1dpi_Pos004,211123_LBT123_Pos004,30.0,56.0,2040.0,LBT123,1.0
2278,211123_LBT123_1dpi_Pos004,211123_LBT123_Pos004,33.0,41.0,2100.0,LBT123,1.0
2281,211123_LBT123_1dpi_Pos004,211123_LBT123_Pos004,36.0,51.0,2160.0,LBT123,1.0
2284,211123_LBT123_1dpi_Pos004,211123_LBT123_Pos004,39.0,44.0,2220.0,LBT123,1.0
2287,211123_LBT123_1dpi_Pos004,211123_LBT123_Pos004,42.0,50.0,2280.0,LBT123,1.0
2290,211123_LBT123_1dpi_Pos004,211123_LBT123_Pos004,45.0,47.0,2340.0,LBT123,1.0
2293,211123_LBT123_1dpi_Pos004,211123_LBT123_Pos004,48.0,40.0,2400.0,LBT123,1.0
2296,211123_LBT123_1dpi_Pos005,211123_LBT123_Pos005,0.0,56.0,1440.0,LBT123,1.0
2299,211123_LBT123_1dpi_Pos005,211123_LBT123_Pos005,3.0,59.0,1500.0,LBT123,1.0
2302,211123_LBT123_1dpi_Pos005,211123_LBT123_Pos005,6.0,65.0,1560.0,LBT123,1.0
2305,211123_LBT123_1dpi_Pos005,211123_LBT123_Pos005,9.0,55.0,1620.0,LBT123,1.0
2308,211123_LBT123_1dpi_Pos005,211123_LBT123_Pos005,12.0,64.0,1680.0,LBT123,1.0
2311,211123_LBT123_1dpi_Pos005,211123_LBT123_Pos005,15.0,54.0,1740.0,LBT123,1.0
2314,211123_LBT123_1dpi_Pos005,211123_LBT123_Pos005,18.0,61.0,1800.0,LBT123,1.0
2317,211123_LBT123_1dpi_Pos005,211123_LBT123_Pos005,21.0,48.0,1860.0,LBT123,1.0
2320,211123_LBT123_1dpi_Pos005,211123_LBT123_Pos005,24.0,41.0,1920.0,LBT123,1.0
2323,211123_LBT123_1dpi_Pos005,211123_LBT123_Pos005,27.0,40.0,1980.0,LBT123,1.0
2326,211123_LBT123_1dpi_Pos005,211123_LBT123_Pos005,30.0,33.0,2040.0,LBT123,1.0
2329,211123_LBT123_1dpi_Pos005,211123_LBT123_Pos005,33.0,43.0,2100.0,LBT123,1.0
2332,211123_LBT123_1dpi_Pos005,211123_LBT123_Pos005,36.0,33.0,2160.0,LBT123,1.0
2335,211123_LBT123_1dpi_Pos005,211123_LBT123_Pos005,39.0,42.0,2220.0,LBT123,1.0
2338,211123_LBT123_1dpi_Pos005,211123_LBT123_Pos005,42.0,44.0,2280.0,LBT123,1.0
2341,211123_LBT123_1dpi_Pos005,211123_LBT123_Pos005,45.0,44.0,2340.0,LBT123,1.0
2344,211123_LBT123_1dpi_Pos005,211123_LBT123_Pos005,48.0,45.0,2400.0,LBT123,1.0
2347,211123_LBT123_1dpi_Pos006,211123_LBT123_Pos006,0.0,50.0,1440.0,LBT123,1.0
2350,211123_LBT123_1dpi_Pos006,211123_LBT123_Pos006,3.0,45.0,1500.0,LBT123,1.0
2353,211123_LBT123_1dpi_Pos006,211123_LBT123_Pos006,6.0,51.0,1560.0,LBT123,1.0
2356,211123_LBT123_1dpi_Pos006,211123_LBT123_Pos006,9.0,41.0,1620.0,LBT123,1.0
2359,211123_LBT123_1dpi_Pos006,211123_LBT123_Pos006,12.0,37.0,1680.0,LBT123,1.0
2362,211123_LBT123_1dpi_Pos006,211123_LBT123_Pos006,15.0,27.0,1740.0,LBT123,1.0
2365,211123_LBT123_1dpi_Pos006,211123_LBT123_Pos006,18.0,21.0,1800.0,LBT123,1.0
2368,211123_LBT123_1dpi_Pos006,211123_LBT123_Pos006,21.0,29.0,1860.0,LBT123,1.0
2371,211123_LBT123_1dpi_Pos006,211123_LBT123_Pos006,24.0,29.0,1920.0,LBT123,1.0
2374,211123_LBT123_1dpi_Pos006,211123_LBT123_Pos006,27.0,31.0,1980.0,LBT123,1.0
2377,211123_LBT123_1dpi_Pos006,211123_LBT123_Pos006,30.0,27.0,2040.0,LBT123,1.0
2380,211123_LBT123_1dpi_Pos006,211123_LBT123_Pos006,33.0,28.0,2100.0,LBT123,1.0
2383,211123_LBT123_1dpi_Pos006,211123_LBT123_Pos006,36.0,26.0,2160.0,LBT123,1.0
2386,211123_LBT123_1dpi_Pos006,211123_LBT123_Pos006,39.0,30.0,2220.0,LBT123,1.0
2389,211123_LBT123_1dpi_Pos006,211123_LBT123_Pos006,42.0,24.0,2280.0,LBT123,1.0
2392,211123_LBT123_1dpi_Pos006,211123_LBT123_Pos006,45.0,25.0,2340.0,LBT123,1.0
2395,211123_LBT123_1dpi_Pos006,211123_LBT123_Pos006,48.0,24.0,2400.0,LBT123,1.0
2398,211130_BT569_1dpi_Pos001,211130_BT569_Pos001,0.0,49.0,1440.0,BT569,1.0
2401,211130_BT569_1dpi_Pos001,211130_BT569_Pos001,3.0,53.0,1500.0,BT569,1.0
2404,211130_BT569_1dpi_Pos001,211130_BT569_Pos001,6.0,47.0,1560.0,BT569,1.0
2407,211130_BT569_1dpi_Pos001,211130_BT569_Pos001,9.0,50.0,1620.0,BT569,1.0
2410,211130_BT569_1dpi_Pos001,211130_BT569_Pos001,12.0,51.0,1680.0,BT569,1.0
2413,211130_BT569_1dpi_Pos001,211130_BT569_Pos001,15.0,50.0,1740.0,BT569,1.0
2416,211130_BT569_1dpi_Pos001,211130_BT569_Pos001,18.0,47.0,1800.0,BT569,1.0
2419,211130_BT569_1dpi_Pos001,211130_BT569_Pos001,21.0,42.0,1860.0,BT569,1.0
2422,211130_BT569_1dpi_Pos001,211130_BT569_Pos001,24.0,37.0,1920.0,BT569,1.0
2425,211130_BT569_1dpi_Pos001,211130_BT569_Pos001,27.0,45.0,1980.0,BT569,1.0
2428,211130_BT569_1dpi_Pos001,211130_BT569_Pos001,30.0,52.0,2040.0,BT569,1.0
2431,211130_BT569_1dpi_Pos001,211130_BT569_Pos001,33.0,41.0,2100.0,BT569,1.0
2434,211130_BT569_1dpi_Pos001,211130_BT569_Pos001,36.0,29.0,2160.0,BT569,1.0
2437,211130_BT569_1dpi_Pos001,211130_BT569_Pos001,39.0,32.0,2220.0,BT569,1.0
2440,211130_BT569_1dpi_Pos001,211130_BT569_Pos001,42.0,28.0,2280.0,BT569,1.0
2443,211130_BT569_1dpi_Pos001,211130_BT569_Pos001,45.0,33.0,2340.0,BT569,1.0
2446,211130_BT569_1dpi_Pos001,211130_BT569_Pos001,48.0,30.0,2400.0,BT569,1.0
2449,211130_BT569_1dpi_Pos002,211130_BT569_Pos002,0.0,38.0,1440.0,BT569,1.0
2452,211130_BT569_1dpi_Pos002,211130_BT569_Pos002,3.0,35.0,1500.0,BT569,1.0
2455,211130_BT569_1dpi_Pos002,211130_BT569_Pos002,6.0,34.0,1560.0,BT569,1.0
2458,211130_BT569_1dpi_Pos002,211130_BT569_Pos002,9.0,37.0,1620.0,BT569,1.0
2461,211130_BT569_1dpi_Pos002,211130_BT569_Pos002,12.0,32.0,1680.0,BT569,1.0
2464,211130_BT569_1dpi_Pos002,211130_BT569_Pos002,15.0,33.0,1740.0,BT569,1.0
2467,211130_BT569_1dpi_Pos002,211130_BT569_Pos002,18.0,31.0,1800.0,BT569,1.0
2470,211130_BT569_1dpi_Pos002,211130_BT569_Pos002,21.0,30.0,1860.0,BT569,1.0
2473,211130_BT569_1dpi_Pos002,211130_BT569_Pos002,24.0,32.0,1920.0,BT569,1.0
2476,211130_BT569_1dpi_Pos002,211130_BT569_Pos002,27.0,34.0,1980.0,BT569,1.0
2479,211130_BT569_1dpi_Pos002,211130_BT569_Pos002,30.0,32.0,2040.0,BT569,1.0
2482,211130_BT569_1dpi_Pos002,211130_BT569_Pos002,33.0,26.0,2100.0,BT569,1.0
2485,211130_BT569_1dpi_Pos002,211130_BT569_Pos002,36.0,26.0,2160.0,BT569,1.0
2488,211130_BT569_1dpi_Pos002,211130_BT569_Pos002,39.0,28.0,2220.0,BT569,1.0
2491,211130_BT569_1dpi_Pos002,211130_BT569_Pos002,42.0,29.0,2280.0,BT569,1.0
2494,211130_BT569_1dpi_Pos002,211130_BT569_Pos002,45.0,37.0,2340.0,BT569,1.0
2497,211130_BT569_1dpi_Pos002,211130_BT569_Pos002,48.0,33.0,2400.0,BT569,1.0
2500,211130_BT569_1dpi_Pos003,211130_BT569_Pos003,0.0,35.0,1440.0,BT569,1.0
2503,211130_BT569_1dpi_Pos003,211130_BT569_Pos003,3.0,38.0,1500.0,BT569,1.0
2506,211130_BT569_1dpi_Pos003,211130_BT569_Pos003,6.0,32.0,1560.0,BT569,1.0
2509,211130_BT569_1dpi_Pos003,211130_BT569_Pos003,9.0,38.0,1620.0,BT569,1.0
2512,211130_BT569_1dpi_Pos003,211130_BT569_Pos003,12.0,35.0,1680.0,BT569,1.0
2515,211130_BT569_1dpi_Pos003,211130_BT569_Pos003,15.0,31.0,1740.0,BT569,1.0
2518,211130_BT569_1dpi_Pos003,211130_BT569_Pos003,18.0,35.0,1800.0,BT569,1.0
2521,211130_BT569_1dpi_Pos003,211130_BT569_Pos003,21.0,32.0,1860.0,BT569,1.0
2524,211130_BT569_1dpi_Pos003,211130_BT569_Pos003,24.0,35.0,1920.0,BT569,1.0
2527,211130_BT569_1dpi_Pos003,211130_BT569_Pos003,27.0,27.0,1980.0,BT569,1.0
2530,211130_BT569_1dpi_Pos003,211130_BT569_Pos003,30.0,36.0,2040.0,BT569,1.0
2533,211130_BT569_1dpi_Pos003,211130_BT569_Pos003,33.0,33.0,2100.0,BT569,1.0
2536,211130_BT569_1dpi_Pos003,211130_BT569_Pos003,36.0,30.0,2160.0,BT569,1.0
2539,211130_BT569_1dpi_Pos003,211130_BT569_Pos003,39.0,33.0,2220.0,BT569,1.0
2542,211130_BT569_1dpi_Pos003,211130_BT569_Pos003,42.0,35.0,2280.0,BT569,1.0
2545,211130_BT569_1dpi_Pos003,211130_BT569_Pos003,45.0,24.0,2340.0,BT569,1.0
2548,211130_BT569_1dpi_Pos003,211130_BT569_Pos003,48.0,18.0,2400.0,BT569,1.0
2551,211130_BT569_1dpi_Pos004,211130_BT569_Pos004,0.0,63.0,1440.0,BT569,1.0
2554,211130_BT569_1dpi_Pos004,211130_BT569_Pos004,3.0,81.0,1500.0,BT569,1.0
2557,211130_BT569_1dpi_Pos004,211130_BT569_Pos004,6.0,63.0,1560.0,BT569,1.0
2560,211130_BT569_1dpi_Pos004,211130_BT569_Pos004,9.0,59.0,1620.0,BT569,1.0
2563,211130_BT569_1dpi_Pos004,211130_BT569_Pos004,12.0,69.0,1680.0,BT569,1.0
2566,211130_BT569_1dpi_Pos004,211130_BT569_Pos004,15.0,55.0,1740.0,BT569,1.0
2569,211130_BT569_1dpi_Pos004,211130_BT569_Pos004,18.0,63.0,1800.0,BT569,1.0
