feature,LBT070,LBT123,LBT001,LBT003,BT333,CME037,CME038,BT569,LBT070 LGALS1KO
mean_count_round_t_1dpi_start,18.083333333333332,28.466666666666665,13.666666666666666,20.09090909090909,19.366666666666667,12.266666666666667,7.777777777777778,19.75,31.833333333333332
std_count_round_t_1dpi_start,7.052355229688469,9.528903399657276,8.359668532365053,7.558443618237152,6.419170283333881,5.225490132651365,2.90143079421081,6.044477999440009,13.42176136581632
mean_count_round_t_1dpi_mid,15.777777777777779,21.8,12.952380952380953,18.303030303030305,17.5,14.166666666666666,7.333333333333333,22.055555555555557,18.38888888888889
std_count_round_t_1dpi_mid,4.781578407125838,9.21609264473636,4.477456761111049,7.073177279683921,6.474086275564165,6.069047152011041,2.890145528597235,4.762618994055653,8.325290236162333
mean_count_round_t_1dpi_end,19.416666666666668,19.155555555555555,16.916666666666668,16.349206349206348,13.392857142857142,16.033333333333335,10.555555555555555,18.02777777777778,20.444444444444443
std_count_round_t_1dpi_end,5.3525694764290535,11.032916773240542,8.969223472350864,7.575765116600073,4.565079089122891,7.508539200106784,4.514319989469096,5.1352346509809,7.285943131830048
mean_count_round_t_5dpi_start,15.38888888888889,20.045454545454547,16.0,20.52777777777778,17.7,17.61111111111111,15.916666666666666,19.681818181818183,16.7
std_count_round_t_5dpi_start,6.590000347129232,8.2026550447736,7.559289460184544,8.78142881674116,9.336403003974903,5.781704296759165,5.5833898685514,4.7447852441377165,4.9899899799498595
mean_count_round_t_5dpi_end,15.416666666666666,20.25,17.5,18.964285714285715,18.75,18.88888888888889,16.25,18.0,16.0
std_count_round_t_5dpi_end,6.986458763966625,7.070137346987197,1.7320508075688772,8.002231831540142,10.823342221426119,4.701550293615787,5.444525428617001,6.661903060008632,3.681787005729087
mean_count_remified_t_1dpi_start,4.588235294117647,3.409090909090909,4.380952380952381,5.548387096774194,3.8518518518518516,3.0,3.7333333333333334,4.472222222222222,5.3
std_count_remified_t_1dpi_start,3.1538110381205664,1.9328035044701721,2.246690688016276,3.124086328622056,2.070000068816493,1.9183326093250879,2.3441924185608345,2.6671130578758873,2.7686670513767653
mean_count_remified_t_1dpi_mid,3.9696969696969697,2.9473684210526314,4.7894736842105265,3.4107142857142856,2.1904761904761907,2.888888888888889,3.375,3.03125,2.6923076923076925
std_count_remified_t_1dpi_mid,2.2288568886994584,1.972066667655665,3.083629668073739,2.7288144992704377,0.9283882603225668,1.4232501627054275,1.3102162671355697,1.6749458344636392,1.6012815380508714
mean_count_remified_t_1dpi_end,3.096774193548387,2.95,2.727272727272727,3.340909090909091,1.75,2.892857142857143,2.764705882352941,2.2413793103448274,1.9230769230769231
std_count_remified_t_1dpi_end,1.6197703275398319,2.012142626335904,1.009049958219026,2.1881624638695194,0.7745966692414834,1.9117431586805547,1.3004524099667143,1.7859605741487672,1.1875421719907089
mean_count_remified_t_5dpi_start,7.777777777777778,12.318181818181818,10.75,12.86111111111111,14.05,13.61111111111111,12.916666666666666,10.136363636363637,12.0
std_count_remified_t_5dpi_start,3.317609975224999,5.149076326195506,5.092010548749033,5.702895393834248,10.282714161461252,5.9224288428560135,4.122186827695252,6.120188719043716,3.972125095937662
mean_count_remified_t_5dpi_end,6.666666666666667,9.2,5.25,6.714285714285714,8.7,10.11111111111111,10.25,4.9523809523809526,8.4
std_count_remified_t_5dpi_end,2.6742316936860857,5.55925023343029,2.6299556396765835,3.28697928259866,5.795642646351699,5.59294607086766,1.9086270308410553,3.122117718411503,4.168666186896929
mean_area_mum2_round_t_1dpi_start,132.6717741935484,150.52963700234193,131.72823170731706,127.06142911010556,148.3327366609294,167.39483695652174,142.60192857142854,148.0858874824191,133.6555445026178
std_area_mum2_round_t_1dpi_start,73.74157024236013,92.16881017898375,79.46238117076791,77.95275049605048,78.84332816052864,86.8663393603633,78.72291797335428,90.80197170224604,74.03236842948985
mean_area_mum2_round_t_1dpi_mid,112.02276408450705,124.21107135575942,106.46922794117647,107.01661837748344,121.9148761904762,141.35538823529413,147.14272727272729,108.13326196473551,121.76108761329304
std_area_mum2_round_t_1dpi_mid,63.70327978940024,76.78181817275018,62.21229710010583,65.25035723863057,69.03753374426384,72.88743824984427,74.12016061301472,72.6959246213932,74.69353810857503
mean_area_mum2_round_t_1dpi_end,98.93650929899856,111.92914733178652,93.22551724137931,94.11078640776698,94.81904,138.74762993762994,146.81650000000002,100.2113559322034,115.68127717391306
std_area_mum2_round_t_1dpi_end,60.82568532493002,69.41918138561476,49.417318965280636,59.087284272463044,54.808239247856406,69.84961978389313,71.49429287532946,62.017552876788656,76.67462526060918
mean_area_mum2_round_t_5dpi_start,88.1557761732852,82.78286848072563,73.20289062500001,83.4073951285521,86.0689406779661,82.71900630914826,75.00494764397907,78.21772517321016,84.47077844311377
std_area_mum2_round_t_5dpi_start,52.55849175580833,53.99881944198519,43.827923453611845,49.55334305993368,54.87286772662071,45.01770328676431,49.2523261138885,44.32525503321942,45.39811651517402
mean_area_mum2_round_t_5dpi_end,86.85572972972972,84.97922222222222,85.7782857142857,84.83796610169492,90.08634933333333,82.05735294117648,88.13684615384615,73.53587121212122,80.99712500000001
std_area_mum2_round_t_5dpi_end,50.4253066601918,49.24964466324042,41.54750900192466,47.49351295432088,54.08415056571633,44.221648791977046,39.26334890830796,40.238690581107456,46.69006759267088
mean_area_mum2_remified_t_1dpi_start,312.7386538461538,304.41406666666666,286.8934782608696,296.5235029069767,307.75625,314.65589743589743,307.4232142857143,308.40335403726704,299.94704402515725
std_area_mum2_remified_t_1dpi_start,124.90688126443808,120.6535646964285,86.793655518812,114.00995877686825,94.82274590081171,109.38508159916907,119.41171404556046,116.74026825042044,107.07293336286453
mean_area_mum2_remified_t_1dpi_mid,273.00160305343513,253.75776785714288,259.83274725274725,272.9483246073299,201.86826086956518,291.0275641025641,303.8870370370371,266.0057731958763,283.14714285714285
std_area_mum2_remified_t_1dpi_mid,106.07655212386655,96.94167821970967,100.60188748026034,114.86710231402371,76.0848891496085,110.92726605181255,118.39847820015177,106.21532069177384,124.41636509463433
mean_area_mum2_remified_t_1dpi_end,232.75437499999998,226.71381355932203,219.3203333333333,235.71734693877548,184.56,270.7237037037037,285.0646808510638,234.4246153846154,258.1512
std_area_mum2_remified_t_1dpi_end,92.50470089690748,98.12373737154438,86.61809058808926,93.19201909157839,60.75758949696311,102.0254849099533,113.35564435901772,103.54152352554208,134.56869015240258
mean_area_mum2_remified_t_5dpi_start,305.4947142857142,289.1252767527675,256.61860465116285,285.7236717062635,294.0070818505338,281.9641632653061,304.3405806451613,276.26618834080716,300.49075
std_area_mum2_remified_t_5dpi_start,132.12617901268968,120.66294435256638,110.71698888887076,135.87433104896797,117.3831755924514,125.30141005632932,160.67360719689052,135.68879023620988,150.94605870617679
mean_area_mum2_remified_t_5dpi_end,331.33450000000005,232.24630434782608,229.5595238095238,247.29308510638302,246.54798850574713,265.1157692307692,252.27804878048775,259.7079807692308,253.97333333333336
std_area_mum2_remified_t_5dpi_end,110.84302747122771,100.36053181321013,63.9360532466769,99.68203121215454,102.65705171603541,123.23217141662703,138.24246135710862,119.64224669786275,128.82936029140396
mean_perimeter_mum_round_t_1dpi_start,45.44405529953917,48.36233411397346,44.90165853658536,44.33505580693816,48.408175559380375,51.230391304347826,46.82253571428572,48.07440928270042,45.739513089005236
std_perimeter_mum_round_t_1dpi_start,14.155474031896864,16.2885392133213,15.157355130017917,15.46593011834602,14.704241357753103,15.532524231137636,15.183753605741448,16.32693807117976,14.174224892698392
mean_perimeter_mum_round_t_1dpi_mid,41.149489436619724,43.494544342507645,40.09080882352941,40.4302309602649,42.94502857142857,47.08468235294118,48.007386363636364,40.271176322418135,43.11797583081571
std_perimeter_mum_round_t_1dpi_mid,13.702721607647085,14.813711732623476,13.853013476107671,13.360624186020203,13.316256546254682,13.711632145368402,14.487630555378116,14.230744851842017,13.953556594929442
mean_perimeter_mum_round_t_1dpi_end,38.03025321888411,41.05960440835267,37.26362561576354,37.52752330097088,37.61890666666667,46.4845945945946,47.88565263157894,38.697734976887524,41.6319972826087
std_perimeter_mum_round_t_1dpi_end,12.727060933763127,13.84499243243719,11.65126626092224,12.798357032211062,12.254237884406734,13.377399328870096,13.761433627227227,13.055837654778262,14.378459418542509
mean_perimeter_mum_round_t_5dpi_start,36.69414801444044,35.30538775510204,33.2222265625,35.652901217861974,36.2827570621469,36.031205047318615,33.556649214659686,34.435302540415705,35.56646706586827
std_perimeter_mum_round_t_5dpi_start,12.712692146515241,12.429213375121705,11.188661404257946,12.213358633624704,13.15052289432142,11.321696820045913,11.721548679674807,10.813288952308996,11.237730823867064
mean_perimeter_mum_round_t_5dpi_end,36.10186486486486,36.035469135802465,36.418285714285716,35.926137476459516,37.42745333333333,35.61327647058823,36.995153846153855,32.98409090909091,34.697687499999994
std_perimeter_mum_round_t_5dpi_end,11.73626407615877,11.636009671124183,10.896581430600426,11.642799763702385,12.330389645288365,11.387029995223912,9.303460574341058,10.193802506974926,11.692578693577525
mean_perimeter_mum_remified_t_1dpi_start,117.86147435897435,115.89813333333332,112.45641304347828,115.74712209302324,118.29086538461539,117.88320512820515,121.06500000000001,119.3067701863354,119.58220125786161
std_perimeter_mum_remified_t_1dpi_start,30.59423601214909,28.813387394342673,23.27586683890088,30.656488821354845,26.01446453923771,26.613047356395317,32.42409777254622,35.30093337297338,35.38294569972402
mean_perimeter_mum_remified_t_1dpi_mid,116.41099236641222,106.22339285714284,113.89923076923078,113.21429319371728,92.87130434782608,116.42679487179488,116.33907407407408,113.42505154639177,115.07457142857143
std_perimeter_mum_remified_t_1dpi_mid,38.808813746264505,27.504614405769054,33.29658645269375,33.82997915891366,21.348025941388656,28.98439730262365,24.618626424945262,35.604819346184,33.47329377480582
mean_perimeter_mum_remified_t_1dpi_end,111.3021875,109.31957627118645,98.39833333333333,113.50251700680272,93.53035714285716,113.71320987654322,114.1508510638298,111.61199999999998,115.72959999999999
std_perimeter_mum_remified_t_1dpi_end,40.141062640409956,37.64569380702236,27.877087376099972,38.85194651147962,25.114642251548805,34.68719053293162,32.881833548645275,40.029805778007464,45.52507070102509
mean_perimeter_mum_remified_t_5dpi_start,137.23785714285714,133.8051291512915,119.16697674418606,129.70434125269978,128.50925266903917,127.30395918367347,144.46451612903226,133.21632286995518,133.83275
std_perimeter_mum_remified_t_5dpi_start,60.674330672611234,54.865289457890164,43.90707353088465,59.79013319645248,49.53716732136806,58.13510367181565,77.89449280496196,65.0639026693139,59.91561943298104
mean_perimeter_mum_remified_t_5dpi_end,144.956,116.36347826086956,110.89190476190477,119.00691489361704,115.38114942528736,123.33368131868134,120.73365853658537,125.8455769230769,118.48809523809521
std_perimeter_mum_remified_t_5dpi_end,48.37854018969646,45.39325750791468,25.942448731576516,42.31161121851964,39.1125604775562,59.110911260269276,64.01295984740256,48.99608850698509,52.653390340988096
mean_eccentricity_round_t_1dpi_start,0.6922993855606758,0.6943519906323186,0.6983411585365854,0.7064775263951734,0.6972643717728054,0.6830671195652175,0.689147857142857,0.6927285513361463,0.7093639790575916
std_eccentricity_round_t_1dpi_start,0.15435155676748116,0.15228377246890887,0.1484247514160103,0.1563044589479415,0.14656293136100448,0.15446831242243234,0.15657949389701128,0.15105863328759242,0.1476636940544374
mean_eccentricity_round_t_1dpi_mid,0.6879769366197183,0.7019010193679918,0.7171492647058823,0.71207690397351,0.6958752380952382,0.6901909176470589,0.6887090909090909,0.7034269017632243,0.7229435045317221
std_eccentricity_round_t_1dpi_mid,0.15880648605733827,0.1450788356376637,0.13736421755733916,0.14762818879068437,0.1523919396779492,0.1548192672768687,0.1685755813701431,0.15830327999674562,0.14547633915223324
mean_eccentricity_round_t_1dpi_end,0.6624257510729613,0.6914374709976798,0.7079472906403941,0.7010574757281554,0.6966053333333333,0.7015282744282745,0.698611052631579,0.695817719568567,0.7105717391304348
std_eccentricity_round_t_1dpi_end,0.16732447620954188,0.15473067936102625,0.1534025172771929,0.15351271105744596,0.153037825785693,0.15521680908938695,0.16215307300061318,0.15063332434978705,0.14860420325951407
mean_eccentricity_round_t_5dpi_start,0.7161370036101083,0.7139920634920635,0.729571875,0.7058539918809201,0.7080771186440679,0.7356485804416404,0.7161842931937173,0.702746351039261,0.7133329341317365
std_eccentricity_round_t_5dpi_start,0.15161181545019853,0.15667156368877816,0.15196433011714544,0.15654231778365404,0.14938858530123098,0.13551817632142488,0.1498656695507431,0.15854640549666688,0.15043332768201195
mean_eccentricity_round_t_5dpi_end,0.7099767567567568,0.7135985185185185,0.718057142857143,0.70124934086629,0.7136696000000001,0.7136626470588235,0.7129007692307692,0.6928583333333332,0.70944125
std_eccentricity_round_t_5dpi_end,0.14573929206049333,0.14634503292276824,0.13261388168252536,0.15957017837000878,0.1502218706123292,0.15739952655749645,0.1485691698047006,0.15154058889379599,0.166628623099885
mean_eccentricity_remified_t_1dpi_start,0.8692480769230769,0.8709406666666666,0.8864,0.8664872093023256,0.8632740384615385,0.8725653846153845,0.8738839285714286,0.8660962732919256,0.882308176100629
std_eccentricity_remified_t_1dpi_start,0.11656297562519798,0.11609052536744541,0.10873797520989274,0.13778943418895914,0.12235001279172156,0.1191377493982001,0.1088887952776271,0.1118134366300618,0.10421011088761636
mean_eccentricity_remified_t_1dpi_mid,0.8781106870229007,0.8585098214285715,0.8890472527472527,0.8772319371727748,0.8783434782608694,0.9044025641025641,0.9024000000000002,0.879061855670103,0.8597285714285714
std_eccentricity_remified_t_1dpi_mid,0.12388940368912688,0.13998268165716712,0.1410527516299088,0.12622077723666422,0.1775893811292079,0.10483786365468183,0.11259268383349864,0.09748509762533254,0.14323040790243935
mean_eccentricity_remified_t_1dpi_end,0.8948645833333334,0.8641694915254237,0.89653,0.8835136054421768,0.9149571428571429,0.8812827160493827,0.8723234042553192,0.8792076923076922,0.8705320000000001
std_eccentricity_remified_t_1dpi_end,0.10869667886193228,0.1530576096827287,0.09264630610274086,0.10549398777873407,0.1377700403613355,0.12518127734422135,0.13753426168044527,0.11690920930856495,0.12284465027016846
mean_eccentricity_remified_t_5dpi_start,0.8470242857142857,0.8270490774907749,0.8681872093023258,0.8510600431965443,0.8512416370106761,0.8334514285714286,0.8489870967741937,0.856882062780269,0.8596349999999998
std_eccentricity_remified_t_5dpi_start,0.13667524596355535,0.14802484397671564,0.1326853019888981,0.132551316296543,0.11333282406332143,0.14410416388564323,0.13252510554102345,0.12404169468025336,0.12354133159977425
mean_eccentricity_remified_t_5dpi_end,0.83255375,0.8495486956521738,0.9052476190476191,0.8580037234042551,0.8588224137931033,0.8718587912087913,0.8607951219512197,0.8481826923076923,0.8624952380952381
std_eccentricity_remified_t_5dpi_end,0.11246537801289018,0.1259973887596313,0.09788792887301077,0.12615110935889243,0.11733119229543952,0.12602273453000556,0.1485393848943766,0.1392955964583271,0.12493550037583191
mean_circularity_round_t_1dpi_start,0.768704915514593,0.759527556596409,0.7747310975609756,0.7639061840120663,0.7596578313253013,0.758993206521739,0.77429,0.7534119549929678,0.7649658638743456
std_circularity_round_t_1dpi_start,0.0988262285667303,0.09679329884335092,0.10230775337194595,0.10281492861756406,0.0923209586626579,0.09089705847730412,0.10032838549110515,0.0962326528606333,0.10121570251290365
mean_circularity_round_t_1dpi_mid,0.7885570422535211,0.7713113149847095,0.7874,0.7746477649006622,0.781836380952381,0.7639032941176471,0.771994696969697,0.7792850125944585,0.7744848942598188
std_circularity_round_t_1dpi_mid,0.10712405434402801,0.09912608845635343,0.1051144001636846,0.10071577796966154,0.09222376098344143,0.09126720793275193,0.10678440812680212,0.09852099955800818,0.09820407885856107
mean_circularity_round_t_1dpi_end,0.8118201716738196,0.783168909512761,0.7985950738916257,0.7912603883495145,0.7970288000000001,0.7729966735966736,0.7714094736842105,0.7919859784283514,0.7856880434782608
