feature,LBT070,LBT123,LBT001,LBT003,BT333,CME037,CME038,BT569,LBT070 LGALS1KO
mean_count_round_t_1dpi_start,18.083333333333332,28.466666666666665,13.666666666666666,20.09090909090909,19.366666666666667,12.266666666666667,7.777777777777778,19.75,31.833333333333332
mean_count_round_t_1dpi_mid,15.777777777777779,21.8,12.952380952380953,18.303030303030305,17.5,14.166666666666666,7.333333333333333,22.055555555555557,18.38888888888889
mean_count_round_t_1dpi_end,19.416666666666668,19.155555555555555,16.916666666666668,16.349206349206348,13.392857142857142,16.033333333333335,10.555555555555555,18.02777777777778,20.444444444444443
mean_count_round_t_5dpi_start,15.38888888888889,20.045454545454547,16.0,20.52777777777778,17.7,17.61111111111111,15.916666666666666,19.681818181818183,16.7
mean_count_round_t_5dpi_end,15.416666666666666,20.25,17.5,18.964285714285715,18.75,18.88888888888889,16.25,18.0,16.0
mean_count_remified_t_1dpi_start,4.588235294117647,3.409090909090909,4.380952380952381,5.548387096774194,3.8518518518518516,3.0,3.7333333333333334,4.472222222222222,5.3
mean_count_remified_t_1dpi_mid,3.9696969696969697,2.9473684210526314,4.7894736842105265,3.4107142857142856,2.1904761904761907,2.888888888888889,3.375,3.03125,2.6923076923076925
mean_count_remified_t_1dpi_end,3.096774193548387,2.95,2.727272727272727,3.340909090909091,1.75,2.892857142857143,2.764705882352941,2.2413793103448274,1.9230769230769231
mean_count_remified_t_5dpi_start,7.777777777777778,12.318181818181818,10.75,12.86111111111111,14.05,13.61111111111111,12.916666666666666,10.136363636363637,12.0
mean_count_remified_t_5dpi_end,6.666666666666667,9.2,5.25,6.714285714285714,8.7,10.11111111111111,10.25,4.9523809523809526,8.4
mean_area_mum2_round_t_1dpi_start,132.6717741935484,150.52963700234193,131.72823170731706,127.06142911010556,148.3327366609294,167.39483695652174,142.60192857142854,148.0858874824191,133.6555445026178
mean_area_mum2_round_t_1dpi_mid,112.02276408450705,124.21107135575942,106.46922794117647,107.01661837748344,121.9148761904762,141.35538823529413,147.14272727272729,108.13326196473551,121.76108761329304
mean_area_mum2_round_t_1dpi_end,98.93650929899856,111.92914733178652,93.22551724137931,94.11078640776698,94.81904,138.74762993762994,146.81650000000002,100.2113559322034,115.68127717391306
mean_area_mum2_round_t_5dpi_start,88.1557761732852,82.78286848072563,73.20289062500001,83.4073951285521,86.0689406779661,82.71900630914826,75.00494764397907,78.21772517321016,84.47077844311377
mean_area_mum2_round_t_5dpi_end,86.85572972972972,84.97922222222222,85.7782857142857,84.83796610169492,90.08634933333333,82.05735294117648,88.13684615384615,73.53587121212122,80.99712500000001
mean_area_mum2_remified_t_1dpi_start,312.7386538461538,304.41406666666666,286.8934782608696,296.5235029069767,307.75625,314.65589743589743,307.4232142857143,308.40335403726704,299.94704402515725
mean_area_mum2_remified_t_1dpi_mid,273.00160305343513,253.75776785714288,259.83274725274725,272.9483246073299,201.86826086956518,291.0275641025641,303.8870370370371,266.0057731958763,283.14714285714285
mean_area_mum2_remified_t_1dpi_end,232.75437499999998,226.71381355932203,219.3203333333333,235.71734693877548,184.56,270.7237037037037,285.0646808510638,234.4246153846154,258.1512
mean_area_mum2_remified_t_5dpi_start,305.4947142857142,289.1252767527675,256.61860465116285,285.7236717062635,294.0070818505338,281.9641632653061,304.3405806451613,276.26618834080716,300.49075
mean_area_mum2_remified_t_5dpi_end,331.33450000000005,232.24630434782608,229.5595238095238,247.29308510638302,246.54798850574713,265.1157692307692,252.27804878048775,259.7079807692308,253.97333333333336
mean_perimeter_mum_round_t_1dpi_start,45.44405529953917,48.36233411397346,44.90165853658536,44.33505580693816,48.408175559380375,51.230391304347826,46.82253571428572,48.07440928270042,45.739513089005236
mean_perimeter_mum_round_t_1dpi_mid,41.149489436619724,43.494544342507645,40.09080882352941,40.4302309602649,42.94502857142857,47.08468235294118,48.007386363636364,40.271176322418135,43.11797583081571
mean_perimeter_mum_round_t_1dpi_end,38.03025321888411,41.05960440835267,37.26362561576354,37.52752330097088,37.61890666666667,46.4845945945946,47.88565263157894,38.697734976887524,41.6319972826087
mean_perimeter_mum_round_t_5dpi_start,36.69414801444044,35.30538775510204,33.2222265625,35.652901217861974,36.2827570621469,36.031205047318615,33.556649214659686,34.435302540415705,35.56646706586827
mean_perimeter_mum_round_t_5dpi_end,36.10186486486486,36.035469135802465,36.418285714285716,35.926137476459516,37.42745333333333,35.61327647058823,36.995153846153855,32.98409090909091,34.697687499999994
mean_perimeter_mum_remified_t_1dpi_start,117.86147435897435,115.89813333333332,112.45641304347828,115.74712209302324,118.29086538461539,117.88320512820515,121.06500000000001,119.3067701863354,119.58220125786161
mean_perimeter_mum_remified_t_1dpi_mid,116.41099236641222,106.22339285714284,113.89923076923078,113.21429319371728,92.87130434782608,116.42679487179488,116.33907407407408,113.42505154639177,115.07457142857143
