,feature,LBT070,LBT123,LBT001,LBT003,BT333,CME037,CME038,BT569
0,mean_area_mum2_round_1dpi_start,114.10201634877384,124.40297580645162,105.95073033707865,103.97192729970327,127.69286689419796,162.00122549019608,116.5246913580247,123.52497213622293
1,std_area_mum2_round_1dpi_start,67.75431275987215,78.6578630644472,57.7487262659472,69.24500908753349,68.74570599770311,84.26527863372814,67.45120323401244,84.58418350767899
2,mean_area_mum2_round_1dpi_mid,94.63117021276595,105.45981147540984,89.2791111111111,92.11708695652175,113.56167638483964,131.70959183673472,124.58573333333331,93.54717977528091
3,std_area_mum2_round_1dpi_mid,52.34801967563132,67.01711891198583,57.621135289404016,57.277148551746556,64.24255619293167,64.39402179480228,57.338013478473925,58.47607376436568
4,mean_area_mum2_round_1dpi_end,91.97798863636365,102.52639024390243,83.86505952380952,87.23764619883042,99.03806188925083,126.75520146520145,136.83330508474577,92.39734978540773
5,std_area_mum2_round_1dpi_end,51.11170144598733,65.23599099538838,52.579033807029504,51.112914449427215,57.418632789462954,64.65069727496687,69.7054815936073,57.37356530128324
6,mean_area_mum2_round_1dpi_start,123.52497213622293,123.52497213622293,123.52497213622293,123.52497213622293,123.52497213622293,123.52497213622293,123.52497213622293,123.52497213622293
7,std_area_mum2_round_1dpi_start,84.58418350767899,84.58418350767899,84.58418350767899,84.58418350767899,84.58418350767899,84.58418350767899,84.58418350767899,84.58418350767899
8,mean_area_mum2_remified_1dpi_start,216.47307606263982,212.51047413793103,221.8186652542373,207.51855357142855,220.5882705882353,229.06427419354839,239.4918103448276,230.18760551248923
9,std_area_mum2_remified_1dpi_start,67.75431275987215,78.6578630644472,57.7487262659472,69.24500908753349,68.74570599770311,84.26527863372814,67.45120323401244,84.58418350767899
10,mean_area_mum2_remified_1dpi_mid,94.63117021276595,105.45981147540984,89.2791111111111,92.11708695652175,113.56167638483964,131.70959183673472,124.58573333333331,93.54717977528091
11,std_area_mum2_remified_1dpi_mid,52.34801967563132,67.01711891198583,57.621135289404016,57.277148551746556,64.24255619293167,64.39402179480228,57.338013478473925,58.47607376436568
12,mean_area_mum2_remified_1dpi_end,91.97798863636365,102.52639024390243,83.86505952380952,87.23764619883042,99.03806188925083,126.75520146520145,136.83330508474577,92.39734978540773
13,std_area_mum2_remified_1dpi_end,51.11170144598733,65.23599099538838,52.579033807029504,51.112914449427215,57.418632789462954,64.65069727496687,69.7054815936073,57.37356530128324
14,mean_area_mum2_remified_1dpi_start,123.52497213622293,123.52497213622293,123.52497213622293,123.52497213622293,123.52497213622293,123.52497213622293,123.52497213622293,123.52497213622293
15,std_area_mum2_remified_1dpi_start,84.58418350767899,84.58418350767899,84.58418350767899,84.58418350767899,84.58418350767899,84.58418350767899,84.58418350767899,84.58418350767899
16,mean_eccentricity_round_1dpi_start,0.6262643051771117,0.634116370967742,0.640802808988764,0.6360560830860534,0.6306750853242321,0.6207323529411767,0.6064814814814816,0.6283705882352941
17,std_eccentricity_round_1dpi_start,0.14281920113976865,0.146320601954324,0.1407041362109418,0.15070324273244198,0.13487516384545595,0.14245864919822246,0.147246327722554,0.14882163915684413
18,mean_eccentricity_round_1dpi_mid,0.6242058510638298,0.6507763114754098,0.6525311111111112,0.6453366666666667,0.6372559766763849,0.6274918367346939,0.6341346666666666,0.6481539325842697
19,std_eccentricity_round_1dpi_mid,0.15232599836865374,0.13564261044067466,0.12629603488574256,0.14320719226457804,0.1437228508331288,0.1405673490727027,0.14728264195016266,0.14338833560449704
20,mean_eccentricity_round_1dpi_end,0.6144156818181817,0.6301741463414634,0.6549845238095238,0.645150730994152,0.6468413680781759,0.6265311355311356,0.6114847457627121,0.6410304721030042
21,std_eccentricity_round_1dpi_end,0.14839379382269377,0.14604414128428395,0.14095530137783926,0.1446962190156159,0.1435708324719347,0.14709590965526123,0.1432057551648256,0.1440673461640228
22,mean_eccentricity_round_1dpi_start,0.6283705882352941,0.6283705882352941,0.6283705882352941,0.6283705882352941,0.6283705882352941,0.6283705882352941,0.6283705882352941,0.6283705882352941
23,std_eccentricity_round_1dpi_start,0.14882163915684413,0.14882163915684413,0.14882163915684413,0.14882163915684413,0.14882163915684413,0.14882163915684413,0.14882163915684413,0.14882163915684413
24,mean_eccentricity_remified_1dpi_start,0.8237426174496644,0.8090199753694581,0.8319408898305085,0.827525969387755,0.8082895294117647,0.8189778225806451,0.844389224137931,0.8090992248062016
25,std_eccentricity_remified_1dpi_start,0.14281920113976865,0.146320601954324,0.1407041362109418,0.15070324273244198,0.13487516384545595,0.14245864919822246,0.147246327722554,0.14882163915684413
26,mean_eccentricity_remified_1dpi_mid,0.6242058510638298,0.6507763114754098,0.6525311111111112,0.6453366666666667,0.6372559766763849,0.6274918367346939,0.6341346666666666,0.6481539325842697
27,std_eccentricity_remified_1dpi_mid,0.15232599836865374,0.13564261044067466,0.12629603488574256,0.14320719226457804,0.1437228508331288,0.1405673490727027,0.14728264195016266,0.14338833560449704
28,mean_eccentricity_remified_1dpi_end,0.6144156818181817,0.6301741463414634,0.6549845238095238,0.645150730994152,0.6468413680781759,0.6265311355311356,0.6114847457627121,0.6410304721030042
29,std_eccentricity_remified_1dpi_end,0.14839379382269377,0.14604414128428395,0.14095530137783926,0.1446962190156159,0.1435708324719347,0.14709590965526123,0.1432057551648256,0.1440673461640228
30,mean_eccentricity_remified_1dpi_start,0.6283705882352941,0.6283705882352941,0.6283705882352941,0.6283705882352941,0.6283705882352941,0.6283705882352941,0.6283705882352941,0.6283705882352941
