feature,LBT070,LBT123,LBT001,LBT003,BT333,CME037,CME038,BT569
mean_count_round_t_1dpi_start,10.194444444444445,13.777777777777779,7.416666666666667,10.212121212121213,9.766666666666667,6.8,4.5,8.972222222222221
std_count_round_t_1dpi_start,4.281651513439607,5.720334100576838,4.652410938022552,4.649284978988793,3.28720962617792,2.8211027435481983,1.9778181680534621,3.492736226686228
mean_count_round_t_1dpi_mid,9.833333333333334,13.733333333333333,7.809523809523809,10.348484848484848,11.2,6.655172413793103,4.882352941176471,11.13888888888889
std_count_round_t_1dpi_mid,3.621365172733304,6.668787541429647,3.8680621455587763,4.460053205072176,4.405325930248991,2.511059282297378,1.9647631199834394,3.936298317511573
mean_count_round_t_1dpi_end,12.222222222222221,13.666666666666666,7.0,10.523076923076923,10.233333333333333,9.1,6.555555555555555,12.944444444444445
std_count_round_t_1dpi_end,3.217018238867531,7.131874673859348,2.9541957835039856,4.921596832798821,4.174498386825559,3.7906418344709625,2.2809240187005284,3.8243165174180898
mean_count_round_t_5dpi_start,8.5,11.909090909090908,10.583333333333334,11.74074074074074,10.133333333333333,9.88888888888889,10.222222222222221,12.0
std_count_round_t_5dpi_start,3.972404813208241,4.200919812699032,2.6097137890209456,5.245609791288313,4.732378080716986,2.965614910077132,5.024124805909929,3.5355339059327378
mean_count_round_t_5dpi_end,8.38888888888889,12.290322580645162,10.416666666666666,11.229166666666666,9.7,12.25925925925926,11.8125,12.212121212121213
std_count_round_t_5dpi_end,5.4894432256928,4.100354036642013,2.678477631835372,5.316532157750685,5.6272122086677445,4.310921662944663,4.929080373998109,3.8548474009808076
mean_count_remified_t_1dpi_start,24.833333333333332,36.08888888888889,19.666666666666668,29.696969696969695,28.333333333333332,16.533333333333335,12.88888888888889,32.25
std_count_remified_t_1dpi_start,4.281651513439607,5.720334100576838,4.652410938022552,4.649284978988793,3.28720962617792,2.8211027435481983,1.9778181680534621,3.492736226686228
mean_count_remified_t_1dpi_mid,19.02777777777778,25.977777777777778,17.428571428571427,22.515151515151516,19.466666666666665,17.0,12.61111111111111,24.72222222222222
std_count_remified_t_1dpi_mid,3.621365172733304,6.668787541429647,3.8680621455587763,4.460053205072176,4.405325930248991,2.511059282297378,1.9647631199834394,3.936298317511573
mean_count_remified_t_1dpi_end,15.055555555555555,18.044444444444444,15.083333333333334,17.03076923076923,12.172413793103448,17.266666666666666,13.11111111111111,16.77777777777778
std_count_remified_t_1dpi_end,3.217018238867531,7.131874673859348,2.9541957835039856,4.921596832798821,4.174498386825559,3.7906418344709625,2.2809240187005284,3.8243165174180898
mean_count_remified_t_5dpi_start,27.076923076923077,35.57575757575758,30.166666666666668,37.388888888888886,36.9,38.925925925925924,30.61111111111111,28.818181818181817
std_count_remified_t_5dpi_start,3.972404813208241,4.200919812699032,2.6097137890209456,5.245609791288313,4.732378080716986,2.965614910077132,5.024124805909929,3.5355339059327378
mean_count_remified_t_5dpi_end,22.666666666666668,29.612903225806452,24.333333333333332,29.208333333333332,33.4,34.2962962962963,26.9375,21.21212121212121
std_count_remified_t_5dpi_end,5.4894432256928,4.100354036642013,2.678477631835372,5.316532157750685,5.6272122086677445,4.310921662944663,4.929080373998109,3.8548474009808076
mean_area_mum2_round_t_1dpi_start,114.10201634877384,124.40297580645162,105.95073033707865,103.97192729970327,127.69286689419796,162.00122549019608,116.5246913580247,123.52497213622293
std_area_mum2_round_t_1dpi_start,67.75431275987215,78.6578630644472,57.7487262659472,69.24500908753349,68.74570599770311,84.26527863372814,67.45120323401244,84.58418350767899
mean_area_mum2_round_t_1dpi_mid,95.39641242937853,107.04272653721682,96.67652439024391,92.00988286969253,111.26660714285715,133.15678756476686,116.86325301204819,95.95608478802993
std_area_mum2_round_t_1dpi_mid,51.91543634333567,68.58386915060565,58.11889712635169,60.536339478808856,61.377406334130015,68.67576922910906,64.12388651833021,61.71762653616707
mean_area_mum2_round_t_1dpi_end,91.97798863636365,102.52639024390243,83.86505952380952,87.23764619883042,99.03806188925083,126.75520146520145,136.83330508474577,92.39734978540773
std_area_mum2_round_t_1dpi_end,51.11170144598733,65.23599099538838,52.579033807029504,51.112914449427215,57.418632789462954,64.65069727496687,69.7054815936073,57.37356530128324
mean_area_mum2_round_t_5dpi_start,67.83941176470589,67.95748091603053,58.97212598425197,68.03777602523658,66.40521381578948,66.03767790262172,61.308260869565224,64.80112373737373
std_area_mum2_round_t_5dpi_start,36.105302570998006,41.21326799331797,33.67217771088656,42.59277655651669,36.295185540729506,33.275194500163074,31.287030029259626,33.3504242633305
mean_area_mum2_round_t_5dpi_end,73.27588741721854,70.99842519685039,73.46359999999999,68.01115955473098,62.8057560137457,65.07046827794561,79.77634920634921,63.41264267990074
std_area_mum2_round_t_5dpi_end,38.1778772490986,41.02400693993951,37.78187234725823,40.16389309158031,33.82924863770979,30.843729213982957,40.78473309163773,34.312657300495665
mean_area_mum2_remified_t_1dpi_start,216.47307606263982,212.51047413793103,221.8186652542373,207.51855357142855,220.5882705882353,229.06427419354839,239.4918103448276,230.18760551248923
std_area_mum2_remified_t_1dpi_start,67.75431275987215,78.6578630644472,57.7487262659472,69.24500908753349,68.74570599770311,84.26527863372814,67.45120323401244,84.58418350767899
mean_area_mum2_remified_t_1dpi_mid,193.06062773722624,181.44064157399487,184.02797814207648,180.915531628533,177.97513698630135,207.76941176470586,232.45070484581495,176.22364606741576
std_area_mum2_remified_t_1dpi_mid,51.91543634333567,68.58386915060565,58.11889712635169,60.536339478808856,61.377406334130015,68.67576922910906,64.12388651833021,61.71762653616707
