short_name,fish_id,time_point,tumor_volume,dt_min,time_in_min,cancer_cells,dpi,PixelSizeX,PixelSizeY,PixelSizeZ,time_in_h,tumor_volume_um
200804_LBT070_1dpi_Pos001,200804_LBT070_Pos001,0,3090102,30,1440,LBT070,1,0.4329,0.4329,1.0184,24,589747.8651
200804_LBT070_1dpi_Pos001,200804_LBT070_Pos001,1,3157454,30,1470,LBT070,1,0.4329,0.4329,1.0184,24.5,602602.0357
200804_LBT070_1dpi_Pos001,200804_LBT070_Pos001,2,3178742,30,1500,LBT070,1,0.4329,0.4329,1.0184,25,606664.8635
200804_LBT070_1dpi_Pos001,200804_LBT070_Pos001,3,3171308,30,1530,LBT070,1,0.4329,0.4329,1.0184,25.5,605246.0801
200804_LBT070_1dpi_Pos001,200804_LBT070_Pos001,4,3151162,30,1560,LBT070,1,0.4329,0.4329,1.0184,26,601401.2036
200804_LBT070_1dpi_Pos001,200804_LBT070_Pos001,5,3010668,30,1590,LBT070,1,0.4329,0.4329,1.0184,26.5,574587.8374
200804_LBT070_1dpi_Pos001,200804_LBT070_Pos001,6,2976480,30,1620,LBT070,1,0.4329,0.4329,1.0184,27,568063.0366
200804_LBT070_1dpi_Pos001,200804_LBT070_Pos001,7,2928835,30,1650,LBT070,1,0.4329,0.4329,1.0184,27.5,558969.9591
200804_LBT070_1dpi_Pos001,200804_LBT070_Pos001,8,2961024,30,1680,LBT070,1,0.4329,0.4329,1.0184,28,565113.2495
200804_LBT070_1dpi_Pos001,200804_LBT070_Pos001,9,2889303,30,1710,LBT070,1,0.4329,0.4329,1.0184,28.5,551425.2526
200804_LBT070_1dpi_Pos001,200804_LBT070_Pos001,10,2838312,30,1740,LBT070,1,0.4329,0.4329,1.0184,29,541693.5889
200804_LBT070_1dpi_Pos001,200804_LBT070_Pos001,11,2774919,30,1770,LBT070,1,0.4329,0.4329,1.0184,29.5,529594.9959
200804_LBT070_1dpi_Pos001,200804_LBT070_Pos001,12,2818199,30,1800,LBT070,1,0.4329,0.4329,1.0184,30,537855.0105
200804_LBT070_1dpi_Pos001,200804_LBT070_Pos001,13,2851991,30,1830,LBT070,1,0.4329,0.4329,1.0184,30.5,544304.2345
200804_LBT070_1dpi_Pos001,200804_LBT070_Pos001,14,2762975,30,1860,LBT070,1,0.4329,0.4329,1.0184,31,527315.4762
200804_LBT070_1dpi_Pos001,200804_LBT070_Pos001,15,2705407,30,1890,LBT070,1,0.4329,0.4329,1.0184,31.5,516328.588
200804_LBT070_1dpi_Pos001,200804_LBT070_Pos001,16,2712157,30,1920,LBT070,1,0.4329,0.4329,1.0184,32,517616.8296
200804_LBT070_1dpi_Pos001,200804_LBT070_Pos001,17,2757259,30,1950,LBT070,1,0.4329,0.4329,1.0184,32.5,526224.5741
200804_LBT070_1dpi_Pos001,200804_LBT070_Pos001,18,2773732,30,1980,LBT070,1,0.4329,0.4329,1.0184,33,529368.4562
200804_LBT070_1dpi_Pos001,200804_LBT070_Pos001,19,2858259,30,2010,LBT070,1,0.4329,0.4329,1.0184,33.5,545500.4861
200804_LBT070_1dpi_Pos001,200804_LBT070_Pos001,20,2910711,30,2040,LBT070,1,0.4329,0.4329,1.0184,34,555510.9825
200804_LBT070_1dpi_Pos001,200804_LBT070_Pos001,21,2922884,30,2070,LBT070,1,0.4329,0.4329,1.0184,34.5,557834.2071
200804_LBT070_1dpi_Pos001,200804_LBT070_Pos001,22,2910038,30,2100,LBT070,1,0.4329,0.4329,1.0184,35,555382.5401
200804_LBT070_1dpi_Pos001,200804_LBT070_Pos001,23,2874839,30,2130,LBT070,1,0.4329,0.4329,1.0184,35.5,548664.7893
200804_LBT070_1dpi_Pos001,200804_LBT070_Pos001,24,3011079,30,2160,LBT070,1,0.4329,0.4329,1.0184,36,574666.277
200804_LBT070_1dpi_Pos001,200804_LBT070_Pos001,25,2996715,30,2190,LBT070,1,0.4329,0.4329,1.0184,36.5,571924.8988
200804_LBT070_1dpi_Pos001,200804_LBT070_Pos001,26,2890321,30,2220,LBT070,1,0.4329,0.4329,1.0184,37,551619.5385
200804_LBT070_1dpi_Pos001,200804_LBT070_Pos001,27,2822491,30,2250,LBT070,1,0.4329,0.4329,1.0184,37.5,538674.1413
200804_LBT070_1dpi_Pos001,200804_LBT070_Pos001,28,2821290,30,2280,LBT070,1,0.4329,0.4329,1.0184,38,538444.9297
200804_LBT070_1dpi_Pos001,200804_LBT070_Pos001,29,2785603,30,2310,LBT070,1,0.4329,0.4329,1.0184,38.5,531634.0439
200804_LBT070_1dpi_Pos001,200804_LBT070_Pos001,30,2795247,30,2340,LBT070,1,0.4329,0.4329,1.0184,39,533474.6072
200804_LBT070_1dpi_Pos001,200804_LBT070_Pos001,31,2686680,30,2370,LBT070,1,0.4329,0.4329,1.0184,39.5,512754.5285
200804_LBT070_1dpi_Pos001,200804_LBT070_Pos001,32,2756472,30,2400,LBT070,1,0.4329,0.4329,1.0184,40,526074.3746
200804_LBT070_1dpi_Pos003,200804_LBT070_Pos003,0,1701554,30,1440,LBT070,1,0.4329,0.4329,1.0184,24,324742.6262
200804_LBT070_1dpi_Pos003,200804_LBT070_Pos003,1,1665301,30,1470,LBT070,1,0.4329,0.4329,1.0184,24.5,317823.7189
200804_LBT070_1dpi_Pos003,200804_LBT070_Pos003,2,1640321,30,1500,LBT070,1,0.4329,0.4329,1.0184,25,313056.2706
200804_LBT070_1dpi_Pos003,200804_LBT070_Pos003,3,1617369,30,1530,LBT070,1,0.4329,0.4329,1.0184,25.5,308675.8673
200804_LBT070_1dpi_Pos003,200804_LBT070_Pos003,4,1649722,30,1560,LBT070,1,0.4329,0.4329,1.0184,26,314850.4572
200804_LBT070_1dpi_Pos003,200804_LBT070_Pos003,5,1686672,30,1590,LBT070,1,0.4329,0.4329,1.0184,26.5,321902.3874
200804_LBT070_1dpi_Pos003,200804_LBT070_Pos003,6,1642912,30,1620,LBT070,1,0.4329,0.4329,1.0184,27,313550.7645
200804_LBT070_1dpi_Pos003,200804_LBT070_Pos003,7,1566490,30,1650,LBT070,1,0.4329,0.4329,1.0184,27.5,298965.5789
200804_LBT070_1dpi_Pos003,200804_LBT070_Pos003,8,1559829,30,1680,LBT070,1,0.4329,0.4329,1.0184,28,297694.3229
200804_LBT070_1dpi_Pos003,200804_LBT070_Pos003,9,1522112,30,1710,LBT070,1,0.4329,0.4329,1.0184,28.5,290496.0103
200804_LBT070_1dpi_Pos003,200804_LBT070_Pos003,10,1575495,30,1740,LBT070,1,0.4329,0.4329,1.0184,29,300684.1886
200804_LBT070_1dpi_Pos003,200804_LBT070_Pos003,11,1615049,30,1770,LBT070,1,0.4329,0.4329,1.0184,29.5,308233.0938
200804_LBT070_1dpi_Pos003,200804_LBT070_Pos003,12,1640007,30,1800,LBT070,1,0.4329,0.4329,1.0184,30,312996.3435
200804_LBT070_1dpi_Pos003,200804_LBT070_Pos003,13,1883118,30,1830,LBT070,1,0.4329,0.4329,1.0184,30.5,359394.2272
200804_LBT070_1dpi_Pos003,200804_LBT070_Pos003,14,1884381,30,1860,LBT070,1,0.4329,0.4329,1.0184,31,359635.2715
200804_LBT070_1dpi_Pos003,200804_LBT070_Pos003,15,1799763,30,1890,LBT070,1,0.4329,0.4329,1.0184,31.5,343485.8742
200804_LBT070_1dpi_Pos003,200804_LBT070_Pos003,16,1853910,30,1920,LBT070,1,0.4329,0.4329,1.0184,32,353819.8624
200804_LBT070_1dpi_Pos003,200804_LBT070_Pos003,17,1789301,30,1950,LBT070,1,0.4329,0.4329,1.0184,32.5,341489.1951
200804_LBT070_1dpi_Pos003,200804_LBT070_Pos003,18,1755021,30,1980,LBT070,1,0.4329,0.4329,1.0184,33,334946.836
200804_LBT070_1dpi_Pos003,200804_LBT070_Pos003,19,1794887,30,2010,LBT070,1,0.4329,0.4329,1.0184,33.5,342555.2866
200804_LBT070_1dpi_Pos003,200804_LBT070_Pos003,20,1785044,30,2040,LBT070,1,0.4329,0.4329,1.0184,34,340676.744
